threshold,flops,non_zero_params,params_reduction_pct,flops_reduction_pct,overall_accuracy,overall_f1,overall_precision,overall_recall,class_3_accuracy,class_3_f1,class_3_precision,class_3_recall,class_4_accuracy,class_4_f1,class_4_precision,class_4_recall,class_5_accuracy,class_5_f1,class_5_precision,class_5_recall,class_6_accuracy,class_6_f1,class_6_precision,class_6_recall,class_7_accuracy,class_7_f1,class_7_precision,class_7_recall,class_8_accuracy,class_8_f1,class_8_precision,class_8_recall
1.0,21264.0,12668,8.70567886999135,9.92120647293061,0.6622889305816135,0.6358478703053945,0.6377671279371273,0.6622889305816135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8135095447870778,0.747638326585695,0.6916354556803995,0.8135095447870778,0.6865203761755486,0.6484085862324205,0.6143057503506312,0.6865203761755486,0.33668341708542715,0.47183098591549294,0.788235294117647,0.33668341708542715,0.0,0.0,0.0,0.0
1.1,20866.0,12464,10.175843182473333,11.607218503770223,0.6604127579737336,0.6340044253566787,0.6360177711881114,0.6604127579737336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8135095447870778,0.7461279461279461,0.6890547263681592,0.8135095447870778,0.6818181818181818,0.6454005934718101,0.6126760563380281,0.6818181818181818,0.33668341708542715,0.47183098591549294,0.788235294117647,0.33668341708542715,0.0,0.0,0.0,0.0
1.2000000000000002,20622.0,12337,11.091092533871427,12.64085402016436,0.6629143214509068,0.6360711703141283,0.637922584407393,0.6629143214509068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8223201174743024,0.7501674480910918,0.6896551724137931,0.8223201174743024,0.6786833855799373,0.6462686567164179,0.6168091168091168,0.6786833855799373,0.33668341708542715,0.47183098591549294,0.788235294117647,0.33668341708542715,0.0,0.0,0.0,0.0
1.3,20444.0,12247,11.73969443643701,13.394899601796151,0.6666666666666666,0.6401634236636133,0.6418928837183149,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8135095447870778,0.751696065128901,0.6986128625472888,0.8135095447870778,0.6974921630094044,0.6548933038999264,0.6171983356449375,0.6974921630094044,0.33668341708542715,0.47183098591549294,0.788235294117647,0.33668341708542715,0.0,0.0,0.0,0.0
1.4000000000000001,20196.0,12123,12.633323724416258,14.445479962721341,0.66541588492808,0.6391866082650499,0.6357021620338953,0.66541588492808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8208516886930984,0.7548953409858203,0.69875,0.8208516886930984,0.6833855799373041,0.6492926284437825,0.6184397163120567,0.6833855799373041,0.34673366834170855,0.4709897610921502,0.7340425531914894,0.34673366834170855,0.0,0.0,0.0,0.0
1.5,19964.0,12006,13.476506197751515,15.42828094552232,0.6566604127579737,0.6315013473906235,0.6282942938494929,0.6566604127579737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8091042584434655,0.7440918298446996,0.68875,0.8091042584434655,0.670846394984326,0.6383296047725578,0.6088193456614509,0.670846394984326,0.35678391959798994,0.48135593220338985,0.7395833333333334,0.35678391959798994,0.0,0.0,0.0,0.0
1.6,19768.0,11907,14.18996829057365,16.258578327543848,0.6560350218886805,0.6298922596295019,0.6257772733413156,0.6560350218886805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8193832599118943,0.7459893048128342,0.6846625766871166,0.8193832599118943,0.6614420062695925,0.6365007541478129,0.6133720930232558,0.6614420062695925,0.34673366834170855,0.46779661016949153,0.71875,0.34673366834170855,0.0,0.0,0.0,0.0
1.7000000000000002,19548.0,11793,15.01153070049005,17.190544776751672,0.6597873671044403,0.6333261698573942,0.627920953990666,0.6597873671044403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8252569750367107,0.7503337783711616,0.6878824969400245,0.8252569750367107,0.664576802507837,0.6414523449319214,0.6198830409356725,0.664576802507837,0.34673366834170855,0.46464646464646464,0.7040816326530612,0.34673366834170855,0.0,0.0,0.0,0.0
1.8,19162.0,11599,16.409628134909195,18.825722273998135,0.6585365853658537,0.6339289161070111,0.6252883777583582,0.6585365853658537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8135095447870778,0.7461279461279461,0.6890547263681592,0.8135095447870778,0.664576802507837,0.6409674981103552,0.618978102189781,0.664576802507837,0.3768844221105528,0.4854368932038835,0.6818181818181818,0.3768844221105528,0.0,0.0,0.0,0.0
1.9000000000000001,18986.0,11510,17.051023349668494,19.571295433364398,0.6604127579737336,0.6354418841151185,0.6280875303218969,0.6604127579737336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8164464023494861,0.7478143913920645,0.6898263027295285,0.8164464023494861,0.6677115987460815,0.6430188679245283,0.6200873362445415,0.6677115987460815,0.37185929648241206,0.4852459016393443,0.6981132075471698,0.37185929648241206,0.0,0.0,0.0,0.0
2.0,18726.0,11378,18.002306140098014,20.672710327882736,0.6685428392745466,0.6439145243557826,0.6359707203767004,0.6685428392745466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8164464023494861,0.7538983050847458,0.7002518891687658,0.8164464023494861,0.6849529780564263,0.6546816479400749,0.6269727403156384,0.6849529780564263,0.38190954773869346,0.495114006514658,0.7037037037037037,0.38190954773869346,0.0,0.0,0.0,0.0
2.1,18548.0,11285,18.672528106082442,21.426755909514526,0.6647904940587868,0.6404881230550391,0.6318746156247002,0.6647904940587868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8105726872246696,0.7505098572399728,0.6987341772151898,0.8105726872246696,0.6818181818181818,0.6507105459985041,0.6223175965665236,0.6818181818181818,0.38190954773869346,0.4919093851132686,0.6909090909090909,0.38190954773869346,0.0,0.0,0.0,0.0
2.2,18358.0,11185,19.39319688671087,22.231636024739476,0.66541588492808,0.6404781775321776,0.6314487178422503,0.66541588492808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8208516886930984,0.7543859649122807,0.6978776529338327,0.8208516886930984,0.6739811912225705,0.6485671191553545,0.625,0.6739811912225705,0.3768844221105528,0.4854368932038835,0.6818181818181818,0.3768844221105528,0.0,0.0,0.0,0.0
2.3000000000000003,17846.0,10929,21.23810896511963,24.400576124714057,0.6710444027517198,0.6454852118282263,0.6408487021584922,0.6710444027517198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8164464023494861,0.7549219280380176,0.702020202020202,0.8164464023494861,0.6974921630094044,0.6607275426874536,0.6276445698166432,0.6974921630094044,0.36180904522613067,0.48484848484848486,0.7346938775510204,0.36180904522613067,0.0,0.0,0.0,0.0
2.4000000000000004,17686.0,10847,21.829057365234938,25.07836990595611,0.6722951844903065,0.6469039554543832,0.6425566909757535,0.6722951844903065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8076358296622613,0.7560137457044673,0.710594315245478,0.8076358296622613,0.7115987460815048,0.664714494875549,0.6236263736263736,0.7115987460815048,0.35678391959798994,0.4797297297297297,0.7319587628865979,0.35678391959798994,0.0,0.0,0.0,0.0
2.5,17560.0,10782,22.29749207264341,25.612132508684237,0.6704190118824265,0.6451957713711668,0.6393992983152028,0.6704190118824265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8149779735682819,0.7551020408163265,0.7034220532319392,0.8149779735682819,0.6959247648902821,0.6592427616926503,0.6262341325811002,0.6959247648902821,0.36683417085427134,0.4866666666666667,0.7227722772277227,0.36683417085427134,0.0,0.0,0.0,0.0
2.6,17428.0,10715,22.780340155664458,26.17131237820893,0.6660412757973734,0.6404484217748337,0.6363489572943993,0.6660412757973734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8091042584434655,0.7506811989100818,0.7001270648030495,0.8091042584434655,0.6959247648902821,0.6558345642540621,0.6201117318435754,0.6959247648902821,0.35175879396984927,0.4745762711864407,0.7291666666666666,0.35175879396984927,0.0,0.0,0.0,0.0
2.7,17112.0,10557,23.91899682905737,27.509955096162,0.6597873671044403,0.6345398225678986,0.631202373682333,0.6597873671044403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8076358296622613,0.7437457741717377,0.6892230576441103,0.8076358296622613,0.6802507836990596,0.6463142218912882,0.6156028368794326,0.6802507836990596,0.35678391959798994,0.48135593220338985,0.7395833333333334,0.35678391959798994,0.0,0.0,0.0,0.0
2.8000000000000003,16940.0,10468,24.56039204381666,28.238583410997208,0.6579111944965603,0.63242209082824,0.630070636332616,0.6579111944965603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8032305433186491,0.7416949152542373,0.6889168765743073,0.8032305433186491,0.6833855799373041,0.6459259259259259,0.6123595505617978,0.6833855799373041,0.34673366834170855,0.4726027397260274,0.7419354838709677,0.34673366834170855,0.0,0.0,0.0,0.0
2.9000000000000004,16458.0,10224,26.318823868550012,30.280437176988904,0.6529080675422139,0.6280887061803824,0.6328941896317818,0.6529080675422139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.775330396475771,0.7297857636489288,0.6892950391644909,0.775330396475771,0.7037617554858934,0.6469740634005764,0.5986666666666667,0.7037617554858934,0.33668341708542715,0.475177304964539,0.8072289156626506,0.33668341708542715,0.0,0.0,0.0,0.0
3.0,16430.0,10210,26.41971749783799,30.399051088706265,0.6504065040650406,0.6249061214184171,0.6299480849560618,0.6504065040650406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7797356828193832,0.7278958190541467,0.6825192802056556,0.7797356828193832,0.6959247648902821,0.6444121915820029,0.6,0.6959247648902821,0.32663316582914576,0.4642857142857143,0.8024691358024691,0.32663316582914576,0.0,0.0,0.0,0.0
